CodMunIBGE,Habitantes 2010
2515005,6696
3100104,6704
3115458,6708
3527009,6712
1713601,6716
2708204,6718
3131109,6724
3519501,6725
1721109,6736
4126207,6736
2615102,6737
2611533,6739
1702307,6742
4316501,6747
2200053,6749
1400605,6750
4307104,6753
4111001,6759
3163805,6760
4119004,6761
1400506,6769
2206357,6769
3115706,6772
3162948,6778
1500131,6780
4207684,6798
2933257,6800
2405108,6801
2202174,6803
4121604,6812
4314001,6812
2503555,6814
3533601,6817
3108107,6818
3121209,6830
2304277,6840
2208908,6845
2312809,6852
2606309,6855
2300606,6856
4115002,6858
3157104,6859
2505006,6866
3156304,6867
3111408,6870
5212709,6871
2924108,6876
4218400,6876
5200050,6876
3125606,6877
4302501,6884
5200605,6885
3556909,6886
3162203,6887
2505204,6889
3138625,6890
2707909,6891
4309050,6891
4318606,6904
4311775,6905
3168903,6906
2400901,6907
3130606,6908
3120870,6913
4118709,6913
4313805,6920
2105989,6923
5219407,6924
2510402,6931
3146750,6931
2404853,6932
2705408,6935
3127305,6951
3160454,6955
3168804,6961
4200408,6961
3518859,6966
3138906,6976
2511608,6978
3204252,6979
2110658,6983
5207535,6983
2300804,6984
2406304,6989
2703502,6997
4210803,7000
5205471,7001
2914208,7002
3121407,7002
4216404,7002
3305133,7003
3165305,7008
3516606,7011
4308409,7014
4301750,7018
3122207,7024
3142403,7028
2700904,7030
3149952,7036
2806404,7038
2919959,7038
4120705,7045
4300307,7045
3506409,7048
2515807,7050
3116704,7054
2504157,7058
3545159,7059
2109759,7061
3511904,7065
2410900,7067
4311759,7072
3112406,7089
4214607,7090
3165107,7093
4301503,7096
3117836,7101
1710508,7104
2915304,7110
3150158,7110
3135456,7116
5212105,7118
3123809,7122
4104105,7125
3511201,7127
3166303,7128
2502003,7143
2701902,7146
3531209,7152
4320263,7158
1707207,7161
2202083,7163
2708709,7163
3139706,7163
2508505,7164
4218251,7167
