IDHM 2010,CodMunIBGE
0.541,2603702
0.549,2603801
0.583,2603900
0.573,2603926
0.68,2604007
0.677,2604106
0.567,2604155
0.609,2604205
0.615,2604304
0.604,2604403
0.599,2604502
0.602,2604601
0.536,2604700
0.568,2604809
0.572,2604908
0.592,2605004
0.594,2605103
0.589,2605152
0.632,2605202
0.576,2605301
0.6,2605400
0.788,2605459
0.622,2605509
0.556,2605608
0.626,2605707
0.576,2605806
0.602,2605905
0.664,2606002
0.604,2606101
0.651,2606200
0.595,2606309
0.634,2606408
0.528,2606507
0.552,2606606
0.58,2606705
0.665,2606804
0.598,2606903
0.523,2607000
0.608,2607109
0.619,2607208
0.55,2607307
0.595,2607406
0.51,2607505
0.653,2607604
0.575,2607653
0.592,2607703
0.633,2607752
0.586,2607802
0.717,2607901
0.575,2607950
0.53,2608008
0.645,2608057
0.576,2608107
0.554,2608206
0.55,2608255
0.575,2608305
0.509,2608404
0.609,2608453
0.602,2608503
0.525,2608602
0.551,2608701
0.597,2608750
0.611,2608800
0.663,2608909
0.609,2609006
0.578,2609105
0.487,2609154
0.534,2609204
0.591,2609303
0.652,2609402
0.662,2609501
0.735,2609600
0.61,2609709
0.61,2609808
0.572,2609907
0.622,2610004
0.549,2610103
0.569,2610202
0.537,2610301
0.599,2610400
0.592,2610509
0.639,2610608
0.732,2610707
0.567,2610806
0.61,2610905
0.623,2611002
0.697,2611101
0.528,2611200
0.598,2611309
0.58,2611408
0.552,2611507
0.577,2611533
0.772,2611606
0.57,2611705
0.602,2611804
0.613,2611903
0.585,2612000
0.534,2612109
0.669,2612208
0.559,2612307
0.603,2612406
0.549,2612455
0.612,2612471
0.648,2612505
0.533,2612554
0.59,2612604
0.548,2612703
0.593,2612802
0.53,2612901
0.593,2613008
0.591,2613107
0.57,2613206
0.537,2613305
0.608,2613404
0.61,2613503
0.635,2613602
0.653,2613701
0.549,2613800
0.661,2613909
0.595,2614006
0.613,2614105
0.597,2614204
0.6,2614303
0.585,2614402
0.635,2614501
0.605,2614600
0.554,2614709
0.573,2614808
0.593,2614857
0.641,2615003
0.545,2615102
0.599,2615201
0.618,2615300
0.618,2615409
0.605,2615508
0.595,2615607
0.67,2615706
0.519,2615805
0.634,2615904
0.592,2616001
0.605,2616100
0.563,2616183
0.582,2616209
0.605,2616308
0.64,2616407
0.552,2616506
0.549,2700102
0.568,2700201
0.649,2700300
0.561,2700409
0.557,2700508
0.615,2700607
0.594,2700706
0.593,2700805
0.517,2700904
0.604,2701001
0.513,2701100
0.531,2701209
0.562,2701308
0.559,2701357
0.57,2701407
0.524,2701506
0.506,2701605
0.573,2701704
0.526,2701803
0.575,2701902
0.533,2702009
0.517,2702108
0.586,2702207
0.626,2702306
0.525,2702355
0.612,2702405
0.532,2702504
0.534,2702553
0.533,2702603
0.565,2702702
0.527,2702801
0.536,2702900
0.518,2703007
0.564,2703106
0.568,2703205
0.484,2703304
0.583,2703403
0.548,2703502
0.57,2703601
0.552,2703700
0.556,2703759
0.531,2703809
0.562,2703908
0.575,2704005
0.552,2704104
0.58,2704203
0.721,2704302
0.566,2704401
0.574,2704500
0.569,2704609
0.642,2704708
0.597,2704807
0.577,2704906
0.504,2705002
0.584,2705101
0.568,2705200
0.563,2705309
0.539,2705408
0.527,2705507
0.521,2705606
0.565,2705705
0.525,2705804
0.503,2705903
0.493,2706000
0.547,2706109
0.558,2706208
0.638,2706307
0.593,2706406
0.548,2706422
0.605,2706448
0.533,2706505
0.589,2706604
0.63,2706703
0.572,2706802
0.61,2706901
0.574,2707008
0.589,2707107
0.526,2707206
0.586,2707305
0.541,2707404
0.551,2707503
0.559,2707602
0.643,2707701
0.505,2707800
0.597,2707909
0.591,2708006
0.519,2708105
0.572,2708204
0.573,2708303
