CodMunIBGE,PIB 2010 (R$),VALUE
3122207,30201.76,30201760.0
2104503,30208.196,30208196.0
2510402,30240.628,30240628.0
3525805,30278.64,30278640.0
2910776,30300.526,30300526.0
4110300,30313.896,30313896.0
3116001,30375.391,30375391.0
2400901,30375.89,30375890.0
3544509,30424.68,30424680.0
2103901,30436.331,30436331.0
3156106,30439.078,30439078.0
2100402,30449.544,30449544.0
4318614,30467.061,30467061.0
2301505,30506.133,30506133.0
2208650,30538.231,30538231.0
3169505,30538.446,30538446.0
5107404,30568.881,30568881.0
3142304,30637.733,30637733.0
3167806,30646.869,30646869.0
5108352,30648.027,30648027.0
3166006,30662.668,30662668.0
3164472,30671.254,30671254.0
2105989,30679.118,30679118.0
5106851,30714.02,30714020.0
4322558,30731.258,30731258.0
2502003,30744.058,30744058.0
4111308,30755.565,30755565.0
2920304,30768.372,30768372.0
4322350,30784.307,30784307.0
3161403,30786.843,30786843.0
2412708,30789.259,30789259.0
2919108,30792.084,30792084.0
2106672,30795.205,30795205.0
3555703,30802.235,30802235.0
4306759,30805.683,30805683.0
3167509,30813.347,30813347.0
3101409,30816.14,30816140.0
3143450,30837.18,30837180.0
2923308,30839.938,30839938.0
2107209,30847.65,30847650.0
4318457,30873.32,30873320.0
2903953,30879.932,30879932.0
4315453,30884.422,30884422.0
3149606,30897.985,30897985.0
3533809,30900.284,30900284.0
2607406,30961.397,30961397.0
5213053,30961.467,30961467.0
3110202,30965.055,30965055.0
5218391,30993.016,30993016.0
3135357,31017.494,31017494.0
2202059,31064.838,31064838.0
3114709,31064.857,31064857.0
5212600,31072.096,31072096.0
2306207,31074.565,31074565.0
2413607,31085.397,31085397.0
5207501,31087.157,31087157.0
1721109,31115.047,31115047.0
4312377,31182.007,31182007.0
4308250,31200.848,31200848.0
3126802,31229.91,31229910.0
2931103,31241.032,31241032.0
3501509,31245.569,31245569.0
