CODE,RAW DATE,TERCODIGO,YEAR,NIVNOME,VALUE (Habitante)
POPTOT,2010-01-01T00:00:00-02:00,4314134,2010,Municípios,2196.0
POPTOT,2010-01-01T00:00:00-02:00,420920,2010,AMC 70-00,2197.0
POPTOT,2010-01-01T00:00:00-02:00,420920,2010,AMC 91-00,2197.0
POPTOT,2010-01-01T00:00:00-02:00,4209201,2010,Municípios,2199.0
POPTOT,2010-01-01T00:00:00-02:00,5107198,2010,Municípios,2199.0
POPTOT,2010-01-01T00:00:00-02:00,4302584,2010,Municípios,2200.0
POPTOT,2010-01-01T00:00:00-02:00,4318499,2010,Municípios,2200.0
POPTOT,2010-01-01T00:00:00-02:00,4210555,2010,Municípios,2203.0
POPTOT,2010-01-01T00:00:00-02:00,431846,2010,AMC 91-00,2204.0
POPTOT,2010-01-01T00:00:00-02:00,4318465,2010,Municípios,2204.0
